Row Labels,Count of Field1
Duke,90
North Carolina,82
Kansas,77
Kentucky,75
Connecticut,55
Michigan State,53
Syracuse,52
Arizona,52
Louisville,48
UCLA,44
Florida,42
Michigan,37
Oklahoma,35
Indiana,35
Georgetown,33
Villanova,33
Wisconsin,32
Maryland,32
Ohio State,32
Texas,29
Arkansas,29
Illinois,28
Memphis,27
Purdue,26
Temple,24
Gonzaga,24
Nevada-Las Vegas,24
"Xavier, Ohio",24
Cincinnati,24
Oklahoma State,23
Utah,22
Georgia Tech,22
Stanford,20
Pittsburgh,19
Butler,19
North Carolina State,19
Alabama,18
Virginia,17
West Virginia,17
Iowa State,17
Louisiana State,16
Wake Forest,16
Iowa,16
Marquette,16
Notre Dame,16
Missouri,16
"St. John's, New York",15
Seton Hall,15
Tennessee,14
Boston College,13
Oregon,13
Auburn,12
Massachusetts,11
Tulsa,11
Minnesota,11
Wichita State,11
Mississippi State,10
Virginia Commonwealth,10
Florida State,10
Washington,10
Kansas State,10
Western Kentucky,9
Vanderbilt,9
California,9
"St. Joseph's, Pennsylvania",8
Baylor,8
"Miami, Florida",8
Texas A&M,8
Providence,8
Brigham Young,7
DePaul,7
Southern California,7
Dayton,7
Richmond,6
UAB,6
San Diego State,6
New Mexico,6
Clemson,6
Rhode Island,6
Creighton,6
George Mason,5
Texas-El Paso,5
Texas Tech,5
Arizona State,5
Northern Iowa,5
Southern Illinois,5
Mississippi,5
St. Louis,5
Nevada,4
Loyola Marymount,4
Charlotte,4
Siena,4
Navy,4
George Washington,4
La Salle,4
Georgia,4
Kent State,4
Pennsylvania State,3
Wyoming,3
Eastern Michigan,3
Bradley,3
"Miami, Ohio",3
Washington State,3
Milwaukee,3
Old Dominion,3
Cleveland State,3
Davidson,3
New Mexico State,3
Louisiana Tech,3
Tulane,3
Florida Gulf Coast,3
Missouri State,3
Ball State,3
Murray State,3
"St. Mary's, California",3
Ohio,3
Vermont,2
Southern Methodist,2
South Florida,2
Chattanooga,2
Valparaiso,2
"Pacific, California",2
Northwestern State,2
Stephen F. Austin,2
Weber State,2
Detroit,2
Morehead State,2
Middle Tennessee State,2
Santa Clara,2
Illinois State,2
Hampton,2
Princeton,2
Virginia Tech,2
"Loyola, Illinois",2
Harvard,2
Manhattan,2
Bucknell,2
Colorado,2
Cornell,2
Colorado State,2
Georgia State,2
North Carolina-Asheville,2
Arkansas-Little Rock,2
Norfolk State,1
James Madison,1
Southern,1
Hawaii,1
Niagara,1
Indiana State,1
South Alabama,1
Central Michigan,1
North Dakota State,1
Oakland,1
New Orleans,1
"Charleston, South Carolina",1
San Diego,1
Coppin State,1
North Carolina A&T,1
"Monmouth, New Jersey",1
Green Bay,1
Montana,1
Fresno State,1
Drexel,1
Utah State,1
Cal Poly,1
Albany,1
Arkansas-Pine Bluff,1
Evansville,1
"Mt. St. Mary's, Maryland",1
Robert Morris,1
Texas Christian,1
Florida A&M,1
Holy Cross,1
Louisiana-Lafayette,1
Pennsylvania,1
California-Santa Barbara,1
Texas-San Antonio,1
Western Michigan,1
Mercer,1
Winthrop,1
Pepperdine,1
North Carolina-Wilmington,1
Lehigh,1
Yale,1
East Tennessee State,1
Austin Peay,1
Grand Total,2050
