Team,Wins,Championship Wins,Losses,Championship Losses,Win Percentage,,,,,,
Duke,90,5,26,4,0.775862069,,,,90,18,
Connecticut,55,4,16,0,0.774647887,,,,55,13.75,
North Carolina,82,3,26,1,0.759259259,,,,82,27.33333333,
Kentucky,75,3,24,2,0.757575758,,,,75,25,
Kansas,77,2,29,3,0.726415094,,,,77,38.5,
Louisville,48,2,22,0,0.685714286,,,,48,24,
Florida,42,2,17,1,0.711864407,,,,42,21,
Villanova,33,2,18,0,0.647058824,,,,33,16.5,
Michigan State,53,1,25,1,0.679487179,,,,53,53,53
Syracuse,52,1,25,2,0.675324675,,,,52,52,52
Arizona,52,1,29,1,0.641975309,,,,52,52,52
UCLA,44,1,23,1,0.656716418,,,,44,44,44
Michigan,37,1,17,3,0.685185185,,,,37,37,37
Indiana,35,1,24,1,0.593220339,,,,35,35,35
Maryland,32,1,18,0,0.64,,,,32,32,32
Arkansas,29,1,17,1,0.630434783,,,,29,29,29
Nevada-Las Vegas,24,1,14,0,0.631578947,,,,24,24,24
Oklahoma,35,0,24,1,0.593220339,,,,53.75,33.88020833,39.77777778
Georgetown,33,0,21,1,0.611111111,,,,,,
Ohio State,32,0,18,1,0.64,,,,,,
Wisconsin,32,0,20,1,0.615384615,,,,,,
Texas,29,0,25,0,0.537037037,,,,,,
Illinois,28,0,22,1,0.56,,,,,,
Memphis,27,0,18,1,0.6,,,,,,
Purdue,26,0,23,0,0.530612245,,,,,,
Gonzaga,24,0,19,0,0.558139535,,,,,,
Cincinnati,24,0,20,0,0.545454545,,,,,,
Temple,24,0,23,0,0.510638298,,,,,,
"Xavier, Ohio",24,0,24,0,0.5,,,,,,
Oklahoma State,23,0,18,0,0.56097561,,,,,,
Georgia Tech,22,0,15,1,0.594594595,,,,,,
Utah,22,0,16,1,0.578947368,,,,,,
Stanford,20,0,16,0,0.555555556,,,,,,
Butler,19,0,13,2,0.59375,,,,,,
North Carolina State,19,0,15,0,0.558823529,,,,,,
Pittsburgh,19,0,19,0,0.5,,,,,,
Alabama,18,0,15,0,0.545454545,,,,,,
West Virginia,17,0,14,0,0.548387097,,,,,,
Virginia,17,0,15,0,0.53125,,,,,,
Iowa State,17,0,17,0,0.5,,,,,,
Wake Forest,16,0,14,0,0.533333333,,,,,,
Marquette,16,0,14,0,0.533333333,,,,,,
Louisiana State,16,0,15,0,0.516129032,,,,,,
Notre Dame,16,0,17,0,0.484848485,,,,,,
Iowa,16,0,17,0,0.484848485,,,,,,
Missouri,16,0,19,0,0.457142857,,,,,,
Seton Hall,15,0,10,1,0.6,,,,,,
"St. John's, New York",15,0,14,0,0.517241379,,,,,,
Tennessee,14,0,12,0,0.538461538,,,,,,
Oregon,13,0,10,0,0.565217391,,,,,,
Boston College,13,0,11,0,0.541666667,,,,,,
Auburn,12,0,7,0,0.631578947,,,,,,
Massachusetts,11,0,8,0,0.578947368,,,,,,
Wichita State,11,0,9,0,0.55,,,,,,
Minnesota,11,0,10,0,0.523809524,,,,,,
Tulsa,11,0,13,0,0.458333333,,,,,,
Mississippi State,10,0,9,0,0.526315789,,,,,,
Washington,10,0,10,0,0.5,,,,,,
Florida State,10,0,10,0,0.5,,,,,,
Virginia Commonwealth,10,0,11,0,0.476190476,,,,,,
Kansas State,10,0,12,0,0.454545455,,,,,,
Western Kentucky,9,0,12,0,0.428571429,,,,,,
Vanderbilt,9,0,12,0,0.428571429,,,,,,
California,9,0,14,0,0.391304348,,,,,,
Baylor,8,0,7,0,0.533333333,,,,,,
"Miami, Florida",8,0,7,0,0.533333333,,,,,,
"St. Joseph's, Pennsylvania",8,0,8,0,0.5,,,,,,
Texas A&M,8,0,8,0,0.5,,,,,,
Providence,8,0,10,0,0.444444444,,,,,,
DePaul,7,0,9,0,0.4375,,,,,,
Dayton,7,0,9,0,0.4375,,,,,,
Southern California,7,0,11,0,0.388888889,,,,,,
Brigham Young,7,0,18,0,0.28,,,,,,
Rhode Island,6,0,5,0,0.545454545,,,,,,
Richmond,6,0,8,0,0.428571429,,,,,,
San Diego State,6,0,9,0,0.4,,,,,,
Clemson,6,0,10,0,0.375,,,,,,
UAB,6,0,11,0,0.352941176,,,,,,
Creighton,6,0,12,0,0.333333333,,,,,,
New Mexico,6,0,12,0,0.333333333,,,,,,
Arizona State,5,0,5,0,0.5,,,,,,
George Mason,5,0,6,0,0.454545455,,,,,,
St. Louis,5,0,7,0,0.416666667,,,,,,
Mississippi,5,0,7,0,0.416666667,,,,,,
Northern Iowa,5,0,8,0,0.384615385,,,,,,
Texas Tech,5,0,9,0,0.357142857,,,,,,
Southern Illinois,5,0,9,0,0.357142857,,,,,,
Texas-El Paso,5,0,10,0,0.333333333,,,,,,
Loyola Marymount,4,0,3,0,0.571428571,,,,,,
Nevada,4,0,5,0,0.444444444,,,,,,
La Salle,4,0,5,0,0.444444444,,,,,,
Kent State,4,0,5,0,0.444444444,,,,,,
Navy,4,0,6,0,0.4,,,,,,
Siena,4,0,6,0,0.4,,,,,,
George Washington,4,0,9,0,0.307692308,,,,,,
Charlotte,4,0,10,0,0.285714286,,,,,,
Georgia,4,0,11,0,0.266666667,,,,,,
Cleveland State,3,0,2,0,0.6,,,,,,
Florida Gulf Coast,3,0,2,0,0.6,,,,,,
Tulane,3,0,3,0,0.5,,,,,,
Washington State,3,0,3,0,0.5,,,,,,
Louisiana Tech,3,0,4,0,0.428571429,,,,,,
Bradley,3,0,4,0,0.428571429,,,,,,
Wyoming,3,0,4,0,0.428571429,,,,,,
Eastern Michigan,3,0,4,0,0.428571429,,,,,,
Pennsylvania State,3,0,4,0,0.428571429,,,,,,
Milwaukee,3,0,4,0,0.428571429,,,,,,
Ohio,3,0,5,0,0.375,,,,,,
Ball State,3,0,6,0,0.333333333,,,,,,
Missouri State,3,0,6,0,0.333333333,,,,,,
"Miami, Ohio",3,0,7,0,0.3,,,,,,
"St. Mary's, California",3,0,7,0,0.3,,,,,,
Old Dominion,3,0,9,0,0.25,,,,,,
Davidson,3,0,9,0,0.25,,,,,,
New Mexico State,3,0,12,0,0.2,,,,,,
Murray State,3,0,13,0,0.1875,,,,,,
"Loyola, Illinois",2,0,1,0,0.666666667,,,,,,
Morehead State,2,0,2,0,0.5,,,,,,
South Florida,2,0,3,0,0.4,,,,,,
Georgia State,2,0,3,0,0.4,,,,,,
Detroit,2,0,3,0,0.4,,,,,,
Northwestern State,2,0,3,0,0.4,,,,,,
Southern Methodist,2,0,4,0,0.333333333,,,,,,
Virginia Tech,2,0,4,0,0.333333333,,,,,,
Illinois State,2,0,4,0,0.333333333,,,,,,
Santa Clara,2,0,4,0,0.333333333,,,,,,
Cornell,2,0,4,0,0.333333333,,,,,,
North Carolina-Asheville,2,0,4,0,0.333333333,,,,,,
Stephen F. Austin,2,0,4,0,0.333333333,,,,,,
Harvard,2,0,4,0,0.333333333,,,,,,
Middle Tennessee State,2,0,5,0,0.285714286,,,,,,
Arkansas-Little Rock,2,0,5,0,0.285714286,,,,,,
Colorado State,2,0,5,0,0.285714286,,,,,,
"Pacific, California",2,0,5,0,0.285714286,,,,,,
Vermont,2,0,5,0,0.285714286,,,,,,
Bucknell,2,0,6,0,0.25,,,,,,
Manhattan,2,0,6,0,0.25,,,,,,
Weber State,2,0,6,0,0.25,,,,,,
Colorado,2,0,6,0,0.25,,,,,,
Hampton,2,0,6,0,0.25,,,,,,
Chattanooga,2,0,8,0,0.2,,,,,,
Valparaiso,2,0,9,0,0.181818182,,,,,,
Princeton,2,0,10,0,0.166666667,,,,,,
Arkansas-Pine Bluff,1,0,1,0,0.5,,,,,,
Norfolk State,1,0,1,0,0.5,,,,,,
Cal Poly,1,0,1,0,0.5,,,,,,
Yale,1,0,1,0,0.5,,,,,,
Mercer,1,0,2,0,0.333333333,,,,,,
Texas Christian,1,0,2,0,0.333333333,,,,,,
Central Michigan,1,0,2,0,0.333333333,,,,,,
James Madison,1,0,2,0,0.333333333,,,,,,
Niagara,1,0,2,0,0.333333333,,,,,,
San Diego,1,0,3,0,0.25,,,,,,
Western Michigan,1,0,3,0,0.25,,,,,,
Florida A&M,1,0,3,0,0.25,,,,,,
Indiana State,1,0,3,0,0.25,,,,,,
Fresno State,1,0,3,0,0.25,,,,,,
Oakland,1,0,3,0,0.25,,,,,,
North Dakota State,1,0,3,0,0.25,,,,,,
Drexel,1,0,4,0,0.2,,,,,,
New Orleans,1,0,4,0,0.2,,,,,,
Texas-San Antonio,1,0,4,0,0.2,,,,,,
Evansville,1,0,4,0,0.2,,,,,,
Coppin State,1,0,4,0,0.2,,,,,,
"Charleston, South Carolina",1,0,4,0,0.2,,,,,,
Hawaii,1,0,4,0,0.2,,,,,,
"Mt. St. Mary's, Maryland",1,0,4,0,0.2,,,,,,
"Monmouth, New Jersey",1,0,4,0,0.2,,,,,,
Lehigh,1,0,5,0,0.166666667,,,,,,
Austin Peay,1,0,5,0,0.166666667,,,,,,
California-Santa Barbara,1,0,5,0,0.166666667,,,,,,
Green Bay,1,0,5,0,0.166666667,,,,,,
North Carolina-Wilmington,1,0,5,0,0.166666667,,,,,,
Albany,1,0,5,0,0.166666667,,,,,,
Robert Morris,1,0,6,0,0.142857143,,,,,,
South Alabama,1,0,6,0,0.142857143,,,,,,
Louisiana-Lafayette,1,0,6,0,0.142857143,,,,,,
Holy Cross,1,0,6,0,0.142857143,,,,,,
North Carolina A&T,1,0,7,0,0.125,,,,,,
Pepperdine,1,0,7,0,0.125,,,,,,
Southern,1,0,8,0,0.111111111,,,,,,
East Tennessee State,1,0,8,0,0.111111111,,,,,,
Montana,1,0,9,0,0.1,,,,,,
Winthrop,1,0,9,0,0.1,,,,,,
Utah State,1,0,10,0,0.090909091,,,,,,
Pennsylvania,1,0,12,0,0.076923077,,,,,,
Iona,0,0,8,0,0,,,,,,
Oregon State,0,0,5,0,0,,,,,,
Northeastern,0,0,5,0,0,,,,,,
Fairleigh Dickinson,0,0,5,0,0,,,,,,
Marshall,0,0,2,0,0,,,,,,
Mississippi Valley,0,0,5,0,0,,,,,,
Jacksonville,0,0,1,0,0,,,,,,
Marist,0,0,2,0,0,,,,,,
Brown,0,0,1,0,0,,,,,,
Akron,0,0,4,0,0,,,,,,
Fairfield,0,0,3,0,0,,,,,,
Nebraska,0,0,7,0,0,,,,,,
Montana State,0,0,2,0,0,,,,,,
Louisiana-Monroe,0,0,6,0,0,,,,,,
Idaho State,0,0,1,0,0,,,,,,
Georgia Southern,0,0,2,0,0,,,,,,
Houston,0,0,4,0,0,,,,,,
Boston,0,0,5,0,0,,,,,,
North Texas,0,0,3,0,0,,,,,,
Boise State,0,0,6,0,0,,,,,,
South Carolina State,0,0,5,0,0,,,,,,
McNeese State,0,0,2,0,0,,,,,,
Idaho,0,0,2,0,0,,,,,,
Rutgers,0,0,2,0,0,,,,,,
South Carolina,0,0,4,0,0,,,,,,
Southern Mississippi,0,0,3,0,0,,,,,,
Towson,0,0,2,0,0,,,,,,
Texas Southern,0,0,6,0,0,,,,,,
Coastal Carolina,0,0,4,0,0,,,,,,
"St. Francis, Pennsylvania",0,0,1,0,0,,,,,,
Northern Illinois,0,0,2,0,0,,,,,,
St. Peter's,0,0,3,0,0,,,,,,
Campbell,0,0,1,0,0,,,,,,
Eastern Illinois,0,0,2,0,0,,,,,,
Fordham,0,0,1,0,0,,,,,,
Howard,0,0,1,0,0,,,,,,
Delaware,0,0,5,0,0,,,,,,
East Carolina,0,0,1,0,0,,,,,,
Tennessee State,0,0,2,0,0,,,,,,
Long Beach State,0,0,4,0,0,,,,,,
Wright State,0,0,2,0,0,,,,,,
Rider,0,0,2,0,0,,,,,,
Texas State,0,0,2,0,0,,,,,,
Central Florida,0,0,4,0,0,,,,,,
Liberty,0,0,3,0,0,,,,,,
"Loyola, Maryland",0,0,2,0,0,,,,,,
Colgate,0,0,2,0,0,,,,,,
Nicholls State,0,0,2,0,0,,,,,,
Florida International,0,0,1,0,0,,,,,,
San Jose State,0,0,1,0,0,,,,,,
Canisius,0,0,1,0,0,,,,,,
Western Carolina,0,0,1,0,0,,,,,,
Portland,0,0,1,0,0,,,,,,
North Carolina-Greensboro,0,0,2,0,0,,,,,,
Long Island-Brooklyn,0,0,4,0,0,,,,,,
Charleston Southern,0,0,1,0,0,,,,,,
Jackson State,0,0,3,0,0,,,,,,
Illinois-Chicago,0,0,3,0,0,,,,,,
Northern Arizona,0,0,2,0,0,,,,,,
San Francisco,0,0,1,0,0,,,,,,
Prairie View,0,0,1,0,0,,,,,,
Radford,0,0,2,0,0,,,,,,
Samford,0,0,2,0,0,,,,,,
Alcorn State,0,0,2,0,0,,,,,,
Lafayette,0,0,3,0,0,,,,,,
Arkansas State,0,0,1,0,0,,,,,,
Central Connecticut State,0,0,3,0,0,,,,,,
St. Bonaventure,0,0,2,0,0,,,,,,
Southeast Missouri State,0,0,1,0,0,,,,,,
Lamar,0,0,2,0,0,,,,,,
Hofstra,0,0,2,0,0,,,,,,
Appalachian State,0,0,1,0,0,,,,,,
Southern Utah,0,0,1,0,0,,,,,,
California State-Northridge,0,0,2,0,0,,,,,,
Alabama State,0,0,4,0,0,,,,,,
Florida Atlantic,0,0,1,0,0,,,,,,
